""
epoch,train_acc,test_acc
52,0.71094,0.5896
53,0.71304,0.5449
54,0.71508,0.5956
55,0.71586,0.582
56,0.71378,0.6146
57,0.71434,0.5723
58,0.71392,0.6205
59,0.71776,0.5584
60,0.713,0.5449
61,0.84336,0.7363
62,0.88918,0.7355
63,0.9103,0.7335
64,0.92142,0.735
65,0.93368,0.7399
66,0.94098,0.735
67,0.94688,0.733
68,0.95112,0.7261
69,0.95136,0.7223
70,0.95416,0.7258
71,0.95074,0.7118
72,0.95052,0.707
73,0.94684,0.7086
74,0.94382,0.6937
75,0.94026,0.7089
76,0.9404,0.6978
77,0.93524,0.6973
78,0.9362,0.6953
79,0.93686,0.6856
80,0.93422,0.6839
81,0.93562,0.6892
82,0.9353,0.6793
83,0.93696,0.6916
84,0.93156,0.6942
85,0.93446,0.6986
86,0.94038,0.6879
87,0.9368,0.6878
88,0.93818,0.6919
89,0.93706,0.6861
90,0.93898,0.6808
91,0.9382,0.6876
92,0.94194,0.6885
93,0.94122,0.691
94,0.94368,0.687
95,0.94072,0.6803
96,0.94316,0.6828
97,0.94358,0.6937
98,0.93944,0.6606
99,0.94614,0.6902
100,0.94252,0.666
101,0.94582,0.6822
102,0.94234,0.687
103,0.94474,0.6816
104,0.94148,0.6841
105,0.94704,0.6918
106,0.94748,0.6866
107,0.9463,0.689
108,0.94204,0.68
109,0.94528,0.686
110,0.94812,0.6742
111,0.94692,0.6704
112,0.94564,0.6809
113,0.94628,0.6817
114,0.94696,0.698
115,0.95092,0.69
116,0.94536,0.6848
117,0.9414,0.6843
118,0.94724,0.6895
119,0.949,0.6768
120,0.94812,0.6898
121,0.9844,0.7449
122,0.9944,0.7522
123,0.99672,0.7548
124,0.9978,0.7584
125,0.99776,0.7555
126,0.9986,0.7598
127,0.99856,0.7609
128,0.99868,0.7577
129,0.99908,0.7561
130,0.99884,0.7614
131,0.99908,0.7596
132,0.99924,0.7586
133,0.99916,0.7605
134,0.99908,0.7603
135,0.99924,0.7605
136,0.9994,0.762
137,0.99942,0.7623
138,0.9994,0.7637
139,0.99954,0.7622
140,0.9995,0.7613
141,0.99956,0.7628
142,0.99934,0.7648
143,0.99964,0.7646
144,0.99962,0.7659
145,0.99944,0.7653
146,0.99944,0.7644
147,0.99958,0.7671
148,0.99954,0.7682
149,0.99952,0.7647
150,0.99948,0.7652
151,0.9996,0.7654
152,0.99952,0.7663
153,0.99966,0.7658
154,0.9996,0.7649
155,0.99956,0.7674
156,0.99958,0.7657
157,0.99964,0.7658
158,0.99962,0.7668
159,0.99956,0.767
160,0.99958,0.767
161,0.99962,0.7668
162,0.9997,0.7661
163,0.99966,0.7669
164,0.99972,0.7663
165,0.99974,0.7666
166,0.99972,0.7672
167,0.99972,0.7673
168,0.99978,0.7663
169,0.99966,0.7677
170,0.99978,0.7669
171,0.99966,0.7687
172,0.99978,0.7684
173,0.99974,0.769
174,0.99976,0.7675
175,0.9997,0.7688
176,0.99978,0.7683
177,0.99968,0.7696
178,0.99972,0.7692
179,0.99976,0.7685
180,0.99964,0.7682
181,0.9997,0.7699
182,0.99972,0.7685
183,0.99974,0.7691
184,0.99974,0.769
185,0.9997,0.7691
186,0.99976,0.769
187,0.99974,0.7689
188,0.99968,0.7688
189,0.99984,0.7701
190,0.99982,0.7687
191,0.9997,0.7682
192,0.99962,0.7704
193,0.99986,0.7705
194,0.9997,0.7686
195,0.9997,0.7695
196,0.99974,0.7703
197,0.9998,0.7702
198,0.99968,0.7697
199,0.9998,0.77
200,0.99974,0.7694
""
epoch,train_acc,test_acc
1,0.1006,0.1532
2,0.2214,0.2578
3,0.33266,0.3291
4,0.42184,0.4507
5,0.47942,0.4688
6,0.52318,0.4858
7,0.55238,0.4994
8,0.56874,0.509
9,0.58954,0.4415
10,0.59908,0.5357
11,0.61652,0.5324
12,0.62324,0.5459
13,0.63114,0.5302
14,0.63934,0.5355
15,0.65018,0.5376
16,0.6504,0.5702
17,0.65828,0.5665
18,0.6609,0.5644
19,0.66526,0.5608
20,0.67126,0.5432
21,0.67406,0.5494
22,0.67778,0.4208
23,0.67848,0.5441
24,0.68278,0.5514
25,0.68532,0.5868
26,0.68484,0.5781
27,0.68984,0.5653
28,0.6902,0.5977
29,0.69158,0.5948
30,0.69418,0.5663
31,0.6981,0.576
32,0.6974,0.544
33,0.69874,0.602
34,0.69988,0.5962
35,0.70296,0.5848
36,0.70208,0.5719
37,0.7063,0.5928
38,0.70286,0.5318
39,0.7079,0.604
40,0.70458,0.5578
41,0.70762,0.5778
42,0.70586,0.6074
43,0.71038,0.5816
44,0.71268,0.5902
45,0.70874,0.5761
46,0.71478,0.5731
47,0.71032,0.5922
48,0.71354,0.6042
49,0.71626,0.5642
50,0.71662,0.5949
51,0.71482,0.5554
52,0.71628,0.5922
53,0.7153,0.553
54,0.71784,0.5983
55,0.72014,0.618
56,0.71874,0.5986
57,0.7216,0.6118
58,0.71946,0.5819
59,0.72144,0.6084
60,0.7209,0.5595
61,0.84528,0.7373
62,0.89146,0.7433
63,0.9106,0.7425
64,0.92458,0.7462
65,0.93328,0.739
66,0.9425,0.7374
67,0.94766,0.7316
68,0.95176,0.7322
69,0.9506,0.7274
70,0.9501,0.7297
71,0.94846,0.7262
72,0.94934,0.7166
73,0.94558,0.7132
74,0.94212,0.7085
75,0.93898,0.7169
76,0.93838,0.6909
77,0.93464,0.706
78,0.93772,0.6877
79,0.93278,0.7019
80,0.93324,0.7028
81,0.93438,0.69
82,0.93546,0.6894
83,0.93374,0.6863
84,0.93728,0.6986
85,0.93694,0.6889
86,0.93642,0.7073
87,0.93964,0.7001
88,0.93482,0.6911
89,0.9358,0.6933
90,0.93868,0.7045
91,0.93974,0.6807
92,0.93586,0.6968
93,0.94104,0.6905
94,0.94188,0.6828
95,0.94296,0.6943
96,0.94074,0.6943
97,0.94514,0.6844
98,0.94036,0.6871
99,0.94042,0.6936
100,0.94216,0.6882
101,0.93948,0.6952
102,0.94322,0.6989
103,0.94536,0.6863
104,0.94824,0.6864
105,0.94854,0.6819
106,0.94616,0.6954
107,0.94754,0.6963
108,0.94536,0.6907
109,0.94334,0.6896
110,0.94456,0.685
111,0.94416,0.6924
112,0.94438,0.6933
113,0.948,0.6914
114,0.94856,0.6893
115,0.94096,0.6892
116,0.94672,0.6886
117,0.94656,0.6847
118,0.94846,0.7004
119,0.95202,0.6929
120,0.94624,0.689
121,0.98508,0.7489
122,0.99496,0.7552
123,0.99636,0.7574
124,0.99718,0.7567
125,0.99806,0.7566
126,0.99822,0.7594
127,0.99854,0.7608
128,0.9986,0.7602
129,0.99896,0.7626
130,0.9989,0.7606
131,0.99902,0.7637
132,0.9992,0.7637
133,0.99924,0.7645
134,0.99924,0.7643
135,0.99936,0.7667
136,0.99934,0.7648
137,0.99942,0.7686
138,0.99944,0.767
139,0.9995,0.768
140,0.99946,0.7691
141,0.99948,0.7669
142,0.99944,0.7697
143,0.99944,0.7687
144,0.99952,0.7669
145,0.9995,0.77
146,0.99948,0.7718
147,0.99956,0.7706
148,0.99948,0.7695
149,0.9993,0.7698
150,0.99956,0.7685
151,0.9996,0.7714
152,0.99956,0.7721
153,0.99954,0.7701
154,0.99952,0.7711
155,0.99946,0.772
156,0.99966,0.7724
157,0.99948,0.7718
158,0.9996,0.7737
159,0.99964,0.7755
160,0.9996,0.7743
161,0.9997,0.7746
162,0.99966,0.7751
163,0.99968,0.775
164,0.99976,0.7732
165,0.99974,0.7731
166,0.9998,0.7754
167,0.99968,0.776
168,0.99972,0.7757
169,0.9997,0.7747
170,0.99978,0.7757
171,0.99968,0.776
172,0.99976,0.7756
173,0.9997,0.7745
174,0.99972,0.775
175,0.99972,0.7768
176,0.9998,0.7754
177,0.99976,0.7757
178,0.99964,0.7751
179,0.9998,0.7757
180,0.99966,0.7759
181,0.99978,0.7747
182,0.99966,0.7773
183,0.99972,0.7764
184,0.99972,0.7763
185,0.9998,0.7765
186,0.99976,0.7766
187,0.99978,0.7755
188,0.99966,0.7766
189,0.99978,0.7761
190,0.99974,0.7749
191,0.99976,0.7757
192,0.99972,0.775
193,0.9997,0.7774
194,0.99966,0.7745
195,0.99968,0.7755
196,0.99976,0.7758
197,0.99974,0.7761
198,0.99974,0.7776
199,0.99982,0.7774
200,0.99974,0.7764
