""
epoch,train_acc,test_acc
53,0.87174,0.4903
54,0.88452,0.4851
55,0.87542,0.477
56,0.87418,0.4878
57,0.88352,0.4724
58,0.87518,0.4825
59,0.88352,0.4725
60,0.87712,0.442
61,0.97406,0.6112
62,0.99918,0.6202
63,0.99942,0.619
64,0.9995,0.6213
65,0.99954,0.6225
66,0.9996,0.6225
67,0.99964,0.6235
68,0.99968,0.6228
69,0.99968,0.6228
70,0.99968,0.6232
71,0.99966,0.6245
72,0.99964,0.6247
73,0.99966,0.6276
74,0.99966,0.625
75,0.99968,0.6257
76,0.9997,0.6246
77,0.99962,0.6263
78,0.99968,0.6241
79,0.99966,0.6228
80,0.99968,0.6245
81,0.99966,0.6255
82,0.99968,0.6234
83,0.99966,0.6217
84,0.99966,0.6201
85,0.99968,0.6232
86,0.99964,0.6213
87,0.9996,0.6192
88,0.99968,0.6215
89,0.9996,0.6196
90,0.99958,0.6189
91,0.9997,0.6165
92,0.99962,0.6162
93,0.99964,0.6168
94,0.99968,0.6148
95,0.91694,0.4291
96,0.7974,0.5275
97,0.9581,0.559
98,0.98862,0.5869
99,0.99768,0.6143
100,0.99926,0.621
101,0.99948,0.6301
102,0.9994,0.629
103,0.9995,0.6316
104,0.99964,0.6325
105,0.9996,0.6314
106,0.99964,0.6329
107,0.99968,0.6334
108,0.99964,0.6334
109,0.99976,0.6343
110,0.99978,0.6323
111,0.99962,0.6319
112,0.99964,0.634
113,0.99912,0.5981
114,0.804,0.4623
115,0.84826,0.5239
116,0.95746,0.5614
117,0.98832,0.5882
118,0.99724,0.617
119,0.99904,0.6226
120,0.9994,0.6324
121,0.99964,0.6335
122,0.9997,0.6347
123,0.99978,0.6361
124,0.99976,0.6373
125,0.99972,0.6389
126,0.99972,0.6387
127,0.99974,0.6369
128,0.99968,0.6377
129,0.99978,0.6379
130,0.99984,0.6395
131,0.99978,0.6386
132,0.99972,0.641
133,0.99976,0.6392
134,0.99972,0.6406
135,0.99984,0.6386
136,0.99972,0.6403
137,0.99978,0.6393
138,0.99972,0.64
139,0.99982,0.6394
140,0.99974,0.6398
141,0.99976,0.6409
142,0.99968,0.6417
143,0.99976,0.6402
144,0.99978,0.6411
145,0.99978,0.641
146,0.9998,0.6413
147,0.99974,0.641
148,0.9997,0.64
149,0.99976,0.6388
150,0.99972,0.6423
151,0.99982,0.6415
152,0.99972,0.6411
153,0.99974,0.6408
154,0.9998,0.6411
155,0.9998,0.6415
156,0.99976,0.6408
157,0.99978,0.6403
158,0.99976,0.6396
159,0.99978,0.6395
160,0.99976,0.6397
161,0.99974,0.6408
162,0.99978,0.6411
163,0.99984,0.6413
164,0.99992,0.6411
165,0.9998,0.6412
166,0.99984,0.6409
167,0.99974,0.6402
168,0.99978,0.6389
169,0.99976,0.642
170,0.99978,0.6396
171,0.99982,0.6396
172,0.99982,0.6398
173,0.99978,0.6401
174,0.99982,0.6416
175,0.99982,0.6408
176,0.9998,0.639
177,0.9999,0.6404
178,0.99972,0.6404
179,0.9998,0.6395
180,0.9998,0.639
181,0.99986,0.6405
182,0.9998,0.6405
183,0.99982,0.6404
184,0.99994,0.6401
185,0.99978,0.6389
186,0.99978,0.6405
187,0.99986,0.6401
188,0.99986,0.6392
189,0.99982,0.6411
190,0.99976,0.6411
191,0.99974,0.6399
192,0.9998,0.6394
193,0.99984,0.64
194,0.99982,0.6393
195,0.99978,0.6372
196,0.9998,0.639
197,0.99982,0.6398
198,0.99984,0.6393
199,0.9998,0.6382
200,0.99982,0.6379
""
epoch,train_acc,test_acc
1,0.1198,0.1871
2,0.2646,0.3061
3,0.3859,0.3907
4,0.47556,0.4278
5,0.55274,0.4872
6,0.604,0.466
7,0.64572,0.4806
8,0.68912,0.5082
9,0.71994,0.4956
10,0.75626,0.4971
11,0.77544,0.5064
12,0.79732,0.4917
13,0.8109,0.5194
14,0.82616,0.481
15,0.8315,0.4581
16,0.83706,0.4796
17,0.84782,0.5075
18,0.8481,0.4802
19,0.8509,0.5189
20,0.86014,0.4654
21,0.8551,0.4739
22,0.86312,0.4859
23,0.85626,0.5119
24,0.86852,0.4863
25,0.8578,0.4795
26,0.86298,0.5071
27,0.87064,0.4814
28,0.86786,0.4734
29,0.86846,0.4902
30,0.8679,0.5036
31,0.86748,0.4675
32,0.86884,0.4821
33,0.87136,0.4493
34,0.87914,0.4944
35,0.87096,0.4542
36,0.869,0.4741
37,0.87316,0.4548
38,0.87314,0.4904
39,0.8733,0.4775
40,0.87444,0.475
41,0.87986,0.4944
42,0.87208,0.4881
43,0.8716,0.4968
44,0.87572,0.4984
45,0.88092,0.474
46,0.87252,0.4865
47,0.87734,0.4775
48,0.8748,0.4603
49,0.87654,0.4628
50,0.87744,0.46
51,0.8849,0.4787
52,0.87318,0.4643
53,0.87236,0.4698
54,0.8842,0.469
55,0.87452,0.4709
56,0.8775,0.484
57,0.87912,0.4856
58,0.88448,0.4668
59,0.8742,0.4849
60,0.88268,0.4732
61,0.97448,0.6142
62,0.9991,0.6177
63,0.99946,0.6178
64,0.99962,0.6233
65,0.99952,0.6235
66,0.99958,0.6251
67,0.9996,0.6253
68,0.99962,0.6269
69,0.99966,0.6274
70,0.9997,0.6286
71,0.99968,0.6272
72,0.99966,0.6285
73,0.9997,0.6313
74,0.9997,0.6312
75,0.9997,0.6293
76,0.99972,0.6306
77,0.9996,0.6321
78,0.99966,0.6311
79,0.9996,0.6292
80,0.9997,0.6315
81,0.99966,0.6319
82,0.99974,0.6327
83,0.99972,0.6332
84,0.99968,0.6297
85,0.99974,0.6316
86,0.99966,0.6322
87,0.99958,0.6302
88,0.99964,0.6287
89,0.99956,0.6328
90,0.9996,0.6321
91,0.9997,0.6341
92,0.99948,0.6062
93,0.93806,0.4287
94,0.82202,0.4997
95,0.96616,0.5717
96,0.99242,0.5912
97,0.99844,0.6146
98,0.99936,0.6321
99,0.99942,0.633
100,0.99954,0.6347
101,0.99962,0.6367
102,0.99958,0.6389
103,0.99966,0.6369
104,0.99968,0.6375
105,0.99962,0.6339
106,0.99964,0.6376
107,0.99964,0.636
108,0.9996,0.6352
109,0.99974,0.6367
110,0.99978,0.6351
111,0.99968,0.6305
112,0.9996,0.6208
113,0.9997,0.6269
114,0.99962,0.6237
115,0.89028,0.4127
116,0.72286,0.5192
117,0.91312,0.5431
118,0.96802,0.5611
119,0.9889,0.58
120,0.997,0.613
121,0.9995,0.6261
122,0.99964,0.6286
123,0.99968,0.6301
124,0.99972,0.6276
125,0.99966,0.6301
126,0.9997,0.6309
127,0.99972,0.6303
128,0.99972,0.6327
129,0.99984,0.6327
130,0.99976,0.6304
131,0.99978,0.6315
132,0.9997,0.6323
133,0.99976,0.6341
134,0.99974,0.6338
135,0.99978,0.6339
136,0.99976,0.6344
137,0.9998,0.6335
138,0.99972,0.6349
139,0.99976,0.6357
140,0.99976,0.6363
141,0.99976,0.6339
142,0.99968,0.6365
143,0.99974,0.6362
144,0.99978,0.6371
145,0.9998,0.6364
146,0.99982,0.6349
147,0.99974,0.6352
148,0.99972,0.6402
149,0.99974,0.6368
150,0.99974,0.6364
151,0.99976,0.6356
152,0.99972,0.6347
153,0.99976,0.637
154,0.99978,0.6372
155,0.9998,0.6382
156,0.99974,0.6376
157,0.99976,0.6375
158,0.9997,0.6371
159,0.99976,0.6404
160,0.99974,0.6378
161,0.99974,0.6386
162,0.99976,0.635
163,0.9998,0.6394
164,0.9999,0.6381
165,0.99978,0.6392
166,0.99984,0.6385
167,0.99974,0.6374
168,0.99976,0.6368
169,0.99974,0.6378
170,0.99982,0.6364
171,0.99984,0.6363
172,0.99978,0.6379
173,0.99978,0.6379
174,0.99978,0.6383
175,0.99986,0.6369
176,0.99978,0.6356
177,0.99988,0.6371
178,0.99974,0.638
179,0.99976,0.6394
180,0.99974,0.638
181,0.99984,0.6385
182,0.99982,0.6391
183,0.99984,0.6376
184,0.99988,0.6367
185,0.99982,0.6368
186,0.99978,0.6391
187,0.99984,0.6366
188,0.9998,0.6376
189,0.9998,0.6384
190,0.99978,0.6395
191,0.99976,0.6377
192,0.99982,0.6406
193,0.99984,0.6396
194,0.9998,0.6374
195,0.9998,0.6369
196,0.99982,0.6395
197,0.99982,0.6382
198,0.99984,0.6367
199,0.9998,0.6372
200,0.99978,0.6359
""
epoch,train_acc,test_acc
1,0.11238,0.1852
2,0.25208,0.2608
3,0.3761,0.3943
4,0.4738,0.4608
5,0.5463,0.4679
6,0.60192,0.4998
7,0.64512,0.514
8,0.68466,0.4971
9,0.71602,0.5041
10,0.74922,0.4859
