""
epoch,train_acc,test_acc
119,0.85942,0.7094
120,0.85824,0.6968
121,0.92654,0.7665
122,0.94674,0.7641
123,0.95652,0.7621
124,0.95868,0.7651
125,0.96156,0.7701
126,0.96476,0.7735
127,0.9659,0.7654
128,0.96706,0.7704
129,0.96962,0.7681
130,0.96988,0.766
131,0.97154,0.7682
132,0.97162,0.7694
133,0.97228,0.7715
134,0.97432,0.7668
135,0.97446,0.7664
136,0.97504,0.7667
137,0.9757,0.7648
138,0.97584,0.7695
139,0.9761,0.7652
140,0.97728,0.7675
141,0.97806,0.7666
142,0.97824,0.7649
143,0.97872,0.7659
144,0.97834,0.7661
145,0.98028,0.7671
146,0.97938,0.7661
147,0.97906,0.7671
148,0.97872,0.7668
149,0.98056,0.7641
150,0.97964,0.7634
151,0.98142,0.7602
152,0.98028,0.76
153,0.98074,0.7612
154,0.98052,0.7646
155,0.98016,0.7667
156,0.9802,0.7633
157,0.97996,0.7622
158,0.9806,0.766
159,0.98138,0.7644
160,0.98096,0.7674
161,0.98454,0.7717
162,0.9869,0.7716
163,0.98888,0.772
164,0.98892,0.7738
165,0.98972,0.7734
166,0.98852,0.7738
167,0.98938,0.7726
168,0.98936,0.7709
169,0.98942,0.7747
170,0.98996,0.7725
171,0.99008,0.773
172,0.99066,0.7734
173,0.99016,0.7748
174,0.9904,0.7737
175,0.99046,0.773
176,0.99124,0.7765
177,0.99138,0.7764
178,0.99068,0.7736
179,0.9907,0.7726
180,0.99152,0.7734
181,0.9907,0.774
182,0.99082,0.7738
183,0.99144,0.7753
184,0.99114,0.776
185,0.99202,0.7741
186,0.99138,0.7751
187,0.99158,0.7751
188,0.9917,0.7757
189,0.99132,0.7746
190,0.99138,0.7752
191,0.99154,0.7757
192,0.99164,0.7778
193,0.99196,0.7775
194,0.99168,0.7776
195,0.9919,0.7772
196,0.99236,0.7755
197,0.99196,0.777
198,0.9917,0.7774
199,0.99282,0.7771
200,0.99264,0.7759
""
epoch,train_acc,test_acc
1,0.0814,0.1197
2,0.15866,0.2066
3,0.2344,0.2769
4,0.30144,0.3186
5,0.35862,0.3799
6,0.39708,0.3739
7,0.43162,0.4121
8,0.4554,0.4651
9,0.47612,0.4789
10,0.49282,0.5012
11,0.50664,0.4915
12,0.51888,0.4652
13,0.52966,0.5209
14,0.53566,0.5292
15,0.5457,0.5278
16,0.5509,0.5329
17,0.5572,0.5557
18,0.56124,0.5121
19,0.56472,0.5471
20,0.56852,0.5144
21,0.576,0.5484
22,0.57824,0.5226
23,0.57974,0.529
24,0.58176,0.5628
25,0.58756,0.5459
26,0.58804,0.4934
27,0.58914,0.5297
28,0.5939,0.4941
29,0.59024,0.5306
30,0.59694,0.5462
31,0.59808,0.5502
32,0.59942,0.5684
33,0.59992,0.5856
34,0.59934,0.5654
35,0.60472,0.5542
36,0.60624,0.593
37,0.60646,0.5364
38,0.60458,0.5193
39,0.60696,0.5702
40,0.60784,0.5549
41,0.60918,0.5639
42,0.6127,0.582
43,0.61174,0.5571
44,0.6132,0.5549
45,0.61416,0.5799
46,0.61162,0.5643
47,0.61252,0.5624
48,0.61582,0.5788
49,0.61272,0.5727
50,0.61654,0.5794
51,0.6121,0.5897
52,0.61594,0.5799
53,0.62002,0.5054
54,0.62124,0.6004
55,0.61836,0.569
56,0.61824,0.5951
57,0.62046,0.5625
58,0.6181,0.5671
59,0.61964,0.5683
60,0.62066,0.5826
61,0.73466,0.7303
62,0.77122,0.7369
63,0.78198,0.7381
64,0.7914,0.7332
65,0.80206,0.7382
66,0.80602,0.73
67,0.81224,0.729
68,0.81396,0.7346
69,0.81446,0.7311
70,0.81652,0.7172
71,0.81402,0.7246
72,0.81684,0.7247
73,0.8161,0.7082
74,0.81912,0.7114
75,0.81896,0.6974
76,0.81916,0.715
77,0.81956,0.7101
78,0.82282,0.6968
79,0.82456,0.7132
80,0.82416,0.7169
81,0.81952,0.6986
82,0.8251,0.7032
83,0.82456,0.7044
84,0.83072,0.7048
85,0.82724,0.7083
86,0.83128,0.6971
87,0.83206,0.6909
88,0.83542,0.7102
89,0.83576,0.6981
90,0.8336,0.7087
91,0.83674,0.705
92,0.83374,0.7025
93,0.8429,0.7089
94,0.83672,0.7066
95,0.84004,0.7077
96,0.84808,0.6983
97,0.84438,0.6826
98,0.84072,0.7106
99,0.84796,0.6973
100,0.84318,0.704
101,0.8453,0.6941
102,0.8445,0.7013
103,0.84728,0.695
104,0.84862,0.6998
105,0.85032,0.7025
106,0.8523,0.708
107,0.85222,0.6894
108,0.85086,0.7007
109,0.85226,0.7019
110,0.85234,0.7057
111,0.85626,0.6942
112,0.85708,0.6993
113,0.85204,0.6975
114,0.85678,0.6902
115,0.8554,0.7029
116,0.8576,0.7073
117,0.8552,0.6956
118,0.85956,0.707
119,0.85842,0.7018
120,0.8611,0.6806
121,0.9253,0.7613
122,0.9468,0.7623
123,0.95456,0.7598
124,0.95872,0.7629
125,0.9598,0.767
126,0.96432,0.7668
127,0.9655,0.7678
128,0.96804,0.7655
129,0.96966,0.7661
130,0.96978,0.7652
131,0.97002,0.7677
132,0.97224,0.767
133,0.97314,0.7652
134,0.97394,0.7673
135,0.97294,0.7697
136,0.97478,0.7661
137,0.97652,0.771
138,0.97562,0.7711
139,0.97578,0.7682
140,0.97784,0.7719
141,0.97714,0.7685
142,0.97818,0.7687
143,0.97846,0.7686
144,0.9794,0.7675
145,0.97994,0.7707
146,0.97894,0.7687
147,0.9801,0.7675
148,0.97844,0.7656
149,0.98028,0.7693
150,0.98058,0.768
151,0.98044,0.7708
152,0.98026,0.768
153,0.97888,0.7657
154,0.98136,0.7669
155,0.98074,0.7642
156,0.98092,0.7661
157,0.9821,0.7669
158,0.98162,0.7657
159,0.98152,0.7644
160,0.98118,0.7664
161,0.98534,0.7743
162,0.9872,0.7734
163,0.98814,0.7752
164,0.98824,0.7763
165,0.9887,0.7738
166,0.9888,0.7768
